ID,Category,Prompt,GreenRange,YellowRange,RedRange,SimulatedValue,Status,Action
W-001,Volume & Revenue,Weekly high-value job mix (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,62.0,Red,Escalate to owner agent; launch corrective playbook.
W-002,Volume & Revenue,Weekly weekly D2C revenue (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,77.9,Red,Escalate to owner agent; launch corrective playbook.
W-003,Volume & Revenue,Weekly subscription revenue share (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,114.1,Yellow,Investigate moderate deviation.
W-004,Volume & Revenue,Weekly average labour revenue (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,107.2,Green,Maintain course.
W-005,Volume & Revenue,Weekly total jobs completed (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,67.5,Red,Escalate to owner agent; launch corrective playbook.
W-006,Volume & Revenue,Weekly repeat bookings share (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,104.9,Green,Maintain course.
W-007,Volume & Revenue,Weekly subscription revenue share (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,77.6,Red,Escalate to owner agent; launch corrective playbook.
W-008,Volume & Revenue,Weekly average parts revenue (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,124.8,Red,Escalate to owner agent; launch corrective playbook.
W-009,Volume & Revenue,Weekly total jobs completed (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,115.9,Yellow,Investigate moderate deviation.
W-010,Volume & Revenue,Weekly B2B revenue contribution (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,72.4,Red,Escalate to owner agent; launch corrective playbook.
W-011,Volume & Revenue,Weekly B2B revenue contribution (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,67.4,Red,Escalate to owner agent; launch corrective playbook.
W-012,Volume & Revenue,Weekly average ticket revenue (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,127.8,Red,Escalate to owner agent; launch corrective playbook.
W-013,Volume & Revenue,Weekly total jobs completed (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,102.9,Green,Maintain course.
W-014,Volume & Revenue,Weekly YoY revenue delta (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,104.2,Green,Maintain course.
W-015,Volume & Revenue,Weekly high-value job mix (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,106.2,Green,Maintain course.
W-016,Volume & Revenue,Weekly total jobs completed (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,121.8,Red,Escalate to owner agent; launch corrective playbook.
W-017,Volume & Revenue,Weekly average ticket revenue (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,129.3,Red,Escalate to owner agent; launch corrective playbook.
W-018,Volume & Revenue,Weekly YoY revenue delta (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.3,Green,Maintain course.
W-019,Volume & Revenue,Weekly B2B revenue contribution (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,89.6,Yellow,Investigate moderate deviation.
W-020,Volume & Revenue,Weekly repeat bookings share (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,116.1,Yellow,Investigate moderate deviation.
W-021,Volume & Revenue,Weekly average parts revenue (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,102.7,Green,Maintain course.
W-022,Volume & Revenue,Weekly repeat bookings share (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,97.0,Green,Maintain course.
W-023,Volume & Revenue,Weekly total jobs completed (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,92.1,Green,Maintain course.
W-024,Volume & Revenue,Weekly average parts revenue (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,77.0,Red,Escalate to owner agent; launch corrective playbook.
W-025,Volume & Revenue,Weekly profit contribution by channel (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,130.8,Red,Escalate to owner agent; launch corrective playbook.
W-026,Volume & Revenue,Weekly high-value job mix (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,71.4,Red,Escalate to owner agent; launch corrective playbook.
W-027,Volume & Revenue,Weekly gross revenue growth % (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,119.6,Yellow,Investigate moderate deviation.
W-028,Volume & Revenue,Weekly average labour revenue (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,119.8,Yellow,Investigate moderate deviation.
W-029,Volume & Revenue,Weekly YoY revenue delta (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,89.0,Yellow,Investigate moderate deviation.
W-030,Volume & Revenue,Weekly gross revenue growth % (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,67.3,Red,Escalate to owner agent; launch corrective playbook.
